SubID	SessionDate	Trial	TargetColor	Response	Correct	RT	leftTargetLetter	rightTargetLetter	leftLetters	rightLetters	leftColors	rightColors	trainLength	TOA	Mask	SOA	symbols	
21	04-Mar-2016	  20	Red	o	0	1.1604	Y	H	CWYP	OQHB	bbb	rrr	3	650	1	6	0
21	04-Mar-2016	  21	Red	e	0	2.0596	I	X	IEGJ	XKOP	b	r	1	2000	1	6	0
21	04-Mar-2016	  22	Red	i	0	1.2405	U	T	AMUN	KITH	bbb	rrr	3	2000	1	6	0
21	04-Mar-2016	  23	Red	p	1	1.5524	P	A	PIOJ	AXMC	r	b	1	2000	1	6	0
21	04-Mar-2016	  24	Red	i	0	1.0731	Q	A	SIQL	CFAG	rrb	bbr	3	2000	1	6	0
21	04-Mar-2016	  25	Red	e	0	1.0790	Q	A	XQPW	IAOF	br	rb	2	650	1	6	0
21	04-Mar-2016	  26	Red	c	0	1.1446	O	J	KHCO	GRDJ	rbrb	brbr	4	2000	1	6	0
21	04-Mar-2016	  27	Red	l	1	1.0747	L	X	LVDW	XPKZ	r	b	1	650	1	6	0
21	04-Mar-2016	  28	Red	r	1	1.0833	R	P	ORKF	XPLA	br	rb	2	2000	1	6	0
21	04-Mar-2016	  29	Red	r	0	1.5890	E	X	TMWE	KPNX	brbb	rbrr	4	2000	1	6	0
21	04-Mar-2016	  30	Red	l	0	1.2698	I	M	VWLI	GYTM	rrbb	bbrr	4	2000	1	6	0
21	04-Mar-2016	  31	Red	b	0	1.0304	G	O	CLGB	TQOX	rbr	brb	3	2000	1	6	0
21	04-Mar-2016	  32	Red	s	0	1.1206	O	X	IHMO	SDCX	brrb	rbbr	4	650	1	6	0
21	04-Mar-2016	   1	Blue	b	1	1.1019	B	K	BGWJ	KANZ	b	r	1	650	1	6	0
21	04-Mar-2016	   2	Blue	e	1	1.0591	E	C	BEQK	WCHY	rb	br	2	2000	1	6	0
21	04-Mar-2016	   3	Blue	b	0	1.1650	E	L	WIME	GRKL	rbbr	brrb	4	650	1	6	0
21	04-Mar-2016	   4	Blue	d	1	1.0036	D	V	NKID	BOHV	rrrb	bbbr	4	650	1	6	0
21	04-Mar-2016	   5	Blue	p	0	1.3156	X	T	PXUW	KTBN	bb	rr	2	2000	1	6	0
21	04-Mar-2016	   6	Blue	l	0	0.9979	Y	C	MBHY	IFLC	brrb	rbbr	4	2000	1	6	0
21	04-Mar-2016	   7	Blue	w	0	1.5501	J	Z	OJXR	KZVH	br	rb	2	650	1	6	0
21	04-Mar-2016	   8	Blue	p	1	1.5013	P	H	YPDC	EHFA	rb	br	2	650	1	6	0
21	04-Mar-2016	   9	Blue	j	0	0.9347	H	G	JCBH	FOTG	brbr	rbrb	4	650	1	6	0
21	04-Mar-2016	  10	Blue	r	0	1.7206	V	G	VBAP	GWXU	r	b	1	650	1	6	0
21	04-Mar-2016	  11	Blue	b	0	1.5769	Y	C	ZYQT	XCSU	rb	br	2	650	1	6	0
21	04-Mar-2016	  12	Blue	s	0	1.2068	P	G	QFPI	SLGE	rrb	bbr	3	2000	1	6	0
21	04-Mar-2016	  13	Blue	j	0	1.2590	U	A	WJUR	NKAP	bbr	rrb	3	650	1	6	0
21	04-Mar-2016	  14	Blue	r	0	1.4674	D	Q	RBDS	WVQF	brr	rbb	3	650	1	6	0
21	04-Mar-2016	  15	Blue	l	0	1.1355	N	B	RUHN	LXYB	rrrb	bbbr	4	2000	1	6	0
21	04-Mar-2016	  16	Blue	i	0	1.1750	K	N	FPKR	OINT	brr	rbb	3	2000	1	6	0
21	04-Mar-2016	  17	Blue	w	0	1.6881	X	L	XBUP	LZER	r	b	1	2000	1	6	0
21	04-Mar-2016	  18	Blue	p	0	1.1384	G	T	JYGC	SPTO	rrb	bbr	3	650	1	6	0
21	04-Mar-2016	  19	Blue	v	0	1.2969	N	U	BAVN	LQEU	brbr	rbrb	4	650	1	6	0
21	04-Mar-2016	  20	Blue	r	1	1.4064	G	R	GTOH	RSIM	r	b	1	650	1	6	0
